
Student_ID,study_hours,attendance_percentage,parental_education,test_preparation,extracurricular_participation,past_grade,performance_category
91,4.19,62.95,HighSchool,None,Yes,69.88,Low
92,5.94,82.15,Masters,None,No,63.71,High
93,2.6,98.77,Masters,None,Yes,99.2,Medium
94,3.34,80.92,Bachelors,Completed,No,70.47,Medium
95,3.22,85.18,Bachelors,Completed,No,94.7,Medium
96,1.07,87.83,Bachelors,None,Yes,61.5,Low
97,4.59,78.18,PhD,None,No,60.66,Medium
98,4.52,85.1,HighSchool,None,Yes,51.56,Medium
99,4.01,83.37,HighSchool,None,Yes,82.58,Medium
100,3.53,96.05,Bachelors,None,Yes,68.43,Medium
101,1.17,61.82,HighSchool,None,No,93.22,Low
102,3.16,71.24,Bachelors,Completed,No,73.66,Low
103,3.31,98.02,PhD,None,Yes,98.41,High
104,2.4,95.61,PhD,Completed,Yes,59.28,Medium
105,3.68,78.23,Masters,Completed,No,93.43,Medium
106,4.81,84.81,PhD,None,Yes,88.83,High
107,7.77,71.1,Bachelors,Completed,Yes,88.55,High
108,4.35,67.52,PhD,Completed,No,92.24,Medium
109,4.52,78.55,Masters,Completed,Yes,88.05,High
110,3.85,74.13,HighSchool,Completed,No,81.31,Medium
111,0.16,83.35,Bachelors,Completed,Yes,56.56,Low
112,3.95,63.11,HighSchool,Completed,No,51.63,Low
113,4.12,98.98,Masters,None,Yes,96.04,High
114,8.0,99.45,Masters,Completed,Yes,80.83,High
115,3.62,87.93,Masters,Completed,No,89.83,High
116,4.6,81.44,HighSchool,Completed,Yes,74.08,Medium
117,3.93,72.38,HighSchool,None,No,55.87,Low
118,1.66,92.55,HighSchool,Completed,Yes,56.26,Low
119,6.29,87.39,HighSchool,None,No,84.28,High
120,5.5,66.5,Masters,Completed,No,71.52,Medium
121,5.58,96.44,Masters,None,No,60.03,High
122,2.18,92.9,Bachelors,None,No,74.58,Low
123,6.81,97.99,Bachelors,Completed,Yes,53.21,High
124,1.2,89.03,HighSchool,Completed,Yes,79.1,Low
125,5.17,84.54,PhD,None,No,63.45,High
126,8.0,76.73,PhD,Completed,No,89.88,High
127,2.02,97.31,Masters,None,No,65.52,Low
128,2.87,94.64,Masters,None,Yes,72.76,Medium
129,4.2,61.81,Masters,None,Yes,50.58,Low
130,2.99,61.05,Bachelors,None,Yes,53.62,Low
131,0.9,75.06,Bachelors,None,Yes,69.62,Low
132,4.14,92.42,Masters,Completed,No,74.0,High
133,1.88,99.49,Masters,None,No,80.0,Low
134,4.95,66.02,Masters,None,No,64.58,Medium
135,2.16,83.77,PhD,Completed,Yes,84.75,Medium
136,7.1,75.24,Bachelors,None,Yes,93.01,High
137,2.43,98.8,PhD,Completed,Yes,88.99,High
138,3.36,93.68,PhD,Completed,No,51.98,Medium
139,5.63,93.53,Masters,Completed,No,74.03,High
140,1.54,78.75,Masters,None,Yes,55.25,Low
141,4.45,76.59,HighSchool,None,No,62.1,Low
142,6.61,70.94,HighSchool,None,Yes,99.33,High
143,0.79,62.26,PhD,Completed,Yes,57.12,Low
144,4.37,94.59,Bachelors,None,No,74.94,Medium
145,4.52,92.52,Masters,Completed,Yes,80.91,High
146,5.56,99.99,Masters,None,No,85.12,High
147,1.53,99.87,PhD,Completed,Yes,77.98,Medium
148,1.36,82.22,HighSchool,None,No,50.49,Low
149,5.04,90.76,Bachelors,None,No,66.32,Medium
150,4.59,97.79,HighSchool,None,No,75.89,Medium
151,4.5,93.99,HighSchool,Completed,Yes,54.39,Medium
152,4.69,69.89,HighSchool,Completed,Yes,67.53,Medium
153,2.64,78.02,HighSchool,None,No,51.66,Low
154,4.46,65.17,Masters,None,No,53.93,Low
155,4.59,98.16,Masters,Completed,Yes,69.85,High
156,2.57,84.25,HighSchool,Completed,Yes,56.64,Low
157,7.73,69.15,Bachelors,Completed,Yes,78.38,High
158,4.95,86.87,PhD,None,No,84.47,High
159,1.62,84.73,Bachelors,Completed,Yes,90.03,Low
160,5.31,74.33,Bachelors,None,Yes,60.01,Medium
161,2.05,64.54,Bachelors,Completed,No,58.37,Low
162,5.57,86.86,HighSchool,None,Yes,55.23,Medium
163,6.32,80.81,Masters,Completed,Yes,81.82,High
164,2.36,90.89,Bachelors,Completed,Yes,85.32,Medium
165,5.93,80.81,HighSchool,Completed,No,51.58,Medium
166,4.83,94.09,Bachelors,Completed,No,96.81,High
167,5.64,82.08,Bachelors,Completed,No,52.6,Medium
168,7.79,82.44,HighSchool,None,No,77.06,High
169,3.51,95.07,Masters,Completed,No,85.45,High
170,2.49,76.14,Masters,Completed,No,93.55,Medium
171,2.22,65.36,PhD,Completed,No,85.7,Low
172,2.37,61.15,HighSchool,None,Yes,90.09,Low
173,3.85,90.21,PhD,Completed,Yes,66.97,High
174,4.68,84.81,PhD,None,No,90.74,High
175,4.55,88.16,PhD,Completed,Yes,54.01,High
176,5.65,68.52,Masters,Completed,Yes,94.74,High
177,4.03,65.45,HighSchool,None,No,77.38,Low
178,6.91,60.58,PhD,Completed,Yes,90.86,High
179,3.47,74.02,HighSchool,None,Yes,72.62,Low
180,8.0,83.6,HighSchool,None,Yes,82.18,High
181,5.25,75.69,Masters,Completed,Yes,76.32,High
182,2.29,77.5,PhD,None,Yes,86.58,Medium
183,1.86,96.17,PhD,Completed,No,54.08,Low
184,4.96,73.93,HighSchool,Completed,No,53.02,Medium
185,3.55,80.56,Bachelors,None,No,62.36,Low
186,5.43,91.35,Masters,None,Yes,57.98,High
187,4.95,75.86,Masters,None,No,93.59,High
188,3.85,84.88,Masters,None,Yes,60.96,Medium
189,2.31,94.49,Masters,Completed,Yes,98.79,Medium
190,0.97,97.98,PhD,Completed,Yes,66.84,Low
191,3.11,65.88,PhD,None,Yes,59.11,Low
192,5.71,97.06,Bachelors,Completed,No,89.48,High
193,4.43,79.68,Masters,Completed,No,82.94,High
194,1.51,70.33,Masters,Completed,Yes,74.91,Low
195,4.35,78.37,HighSchool,Completed,No,77.77,Medium
196,4.77,99.2,PhD,None,Yes,85.96,High
197,2.23,79.7,Masters,None,No,61.42,Low
198,4.31,73.15,Bachelors,Completed,No,99.82,Medium
199,4.12,85.34,Bachelors,None,Yes,98.74,High
200,1.71,69.61,PhD,None,No,82.52,Low
201,4.72,63.03,Bachelors,None,Yes,59.98,Low
202,5.12,65.16,Bachelors,Completed,No,84.01,Medium
203,6.17,65.12,PhD,Completed,Yes,53.61,High
204,6.11,66.08,Masters,Completed,Yes,51.53,High
205,1.24,65.55,Masters,None,No,62.88,Low
206,2.12,85.63,Bachelors,Completed,No,73.13,Low
207,5.03,67.28,Bachelors,Completed,Yes,93.41,High
208,5.03,73.83,Masters,None,No,86.36,Medium
209,5.03,95.87,PhD,Completed,No,87.14,High
210,8.0,78.96,Bachelors,Completed,Yes,71.27,High
211,5.14,86.7,HighSchool,None,Yes,67.3,Medium
212,6.27,66.89,PhD,None,No,68.55,High
213,5.91,67.69,Bachelors,None,Yes,99.38,High
214,5.3,61.63,Bachelors,Completed,Yes,52.01,Medium
215,3.37,66.76,HighSchool,Completed,Yes,93.35,Medium
216,5.52,71.14,HighSchool,Completed,No,78.93,Medium
217,2.45,67.08,Masters,None,No,71.93,Low
218,3.53,63.55,PhD,None,Yes,86.26,Medium
219,3.03,64.83,PhD,Completed,No,74.33,Low
220,4.16,78.43,Masters,Completed,Yes,93.67,High
221,8.0,68.25,PhD,None,No,95.04,High
222,0.27,74.57,PhD,None,Yes,71.09,Low
223,5.37,80.14,PhD,None,Yes,63.84,High
224,0.77,87.62,PhD,None,No,79.62,Low
225,3.06,61.57,PhD,Completed,Yes,95.62,Medium
226,6.18,91.98,HighSchool,None,No,60.53,High
227,4.13,85.12,PhD,Completed,No,81.15,High
228,1.84,63.27,HighSchool,Completed,Yes,81.58,Low
229,2.57,94.94,PhD,Completed,Yes,86.66,Medium
230,5.36,96.83,Masters,None,No,56.58,High
231,2.54,62.44,Bachelors,None,Yes,85.79,Low
232,4.43,71.08,HighSchool,None,Yes,95.45,Medium
233,4.09,92.25,PhD,None,Yes,58.98,Medium
234,2.7,89.93,Masters,Completed,Yes,61.88,Medium
235,8.0,67.38,Bachelors,None,Yes,98.57,High
236,5.27,68.37,HighSchool,None,No,59.05,Low
237,0.0,74.82,Bachelors,Completed,No,92.72,Low
238,4.37,79.38,Masters,None,Yes,74.61,Medium
239,2.68,84.73,HighSchool,Completed,Yes,62.36,Low
240,5.7,74.76,Bachelors,Completed,Yes,93.54,High
241,2.41,78.5,PhD,Completed,No,72.27,Low
242,3.77,89.9,HighSchool,Completed,Yes,75.74,Medium
243,5.01,61.47,Bachelors,Completed,No,67.96,Medium
244,5.73,70.1,Masters,Completed,No,79.65,High
245,1.6,88.53,Masters,Completed,No,58.18,Low
246,3.33,95.81,HighSchool,Completed,Yes,69.55,Medium
247,3.05,80.47,Bachelors,None,No,98.47,Medium
248,2.69,81.28,HighSchool,None,Yes,62.91,Low
249,7.53,64.29,HighSchool,None,No,82.84,High
250,4.81,77.9,Bachelors,None,Yes,66.26,Medium
251,1.48,81.3,Bachelors,Completed,No,88.67,Low
252,5.84,69.7,PhD,None,Yes,56.54,Medium
253,8.0,70.77,Bachelors,Completed,No,98.49,High
254,6.06,75.09,Masters,None,Yes,72.69,High
255,0.96,60.8,HighSchool,None,Yes,61.8,Low
256,3.03,72.88,HighSchool,None,Yes,53.67,Low
257,6.53,68.46,Masters,Completed,Yes,58.49,High
258,2.58,73.1,Bachelors,None,No,75.99,Low
259,4.89,64.79,Masters,Completed,No,66.85,Medium
260,5.55,95.62,Masters,Completed,Yes,91.44,High
261,2.15,83.74,PhD,None,No,71.54,Low
262,3.88,87.16,Masters,None,Yes,62.44,Medium
263,0.0,91.57,HighSchool,None,Yes,80.86,Low
264,1.95,79.94,Masters,Completed,No,85.34,Low
265,3.49,63.48,HighSchool,None,Yes,58.35,Low
266,1.5,81.48,HighSchool,Completed,Yes,58.38,Low
267,7.26,83.47,HighSchool,Completed,No,51.83,High
268,1.14,89.82,Bachelors,None,Yes,86.82,Low
269,3.12,77.27,PhD,None,Yes,83.19,Medium
270,4.26,65.1,HighSchool,Completed,Yes,73.73,Medium
271,6.88,71.35,HighSchool,Completed,Yes,92.21,High
272,1.13,74.52,Bachelors,Completed,No,90.28,Low
273,6.33,85.84,HighSchool,None,No,79.27,High
274,4.02,82.83,Masters,Completed,No,93.41,High
275,2.04,74.24,Masters,None,Yes,60.29,Low
276,4.92,99.46,PhD,Completed,Yes,55.6,High
277,4.4,84.23,HighSchool,Completed,No,63.49,Medium
278,2.8,69.49,Bachelors,None,Yes,52.85,Low
279,4.14,64.07,Masters,Completed,Yes,76.56,Medium
280,3.23,66.11,Bachelors,None,Yes,96.83,Medium
281,4.23,69.84,Bachelors,None,Yes,51.97,Low
282,5.32,66.43,Masters,Completed,No,56.11,Medium
283,7.17,67.46,Bachelors,None,No,72.61,High
284,1.52,71.4,Masters,None,No,96.69,Low
285,8.0,66.93,Bachelors,Completed,Yes,65.81,High
286,0.1,95.87,Masters,None,No,75.36,Low
287,3.7,63.21,HighSchool,None,No,52.08,Low
288,5.18,80.98,PhD,None,Yes,57.42,Medium
289,4.56,76.42,Masters,Completed,Yes,99.33,High
290,2.75,99.3,Masters,None,No,98.26,Medium
291,3.58,64.48,PhD,Completed,No,50.25,Low
292,3.01,75.91,Masters,Completed,No,97.59,Medium
293,2.82,98.78,Masters,None,No,81.96,Medium
294,5.7,94.62,Bachelors,None,Yes,93.4,High
295,4.71,92.68,PhD,None,No,72.74,High
296,2.61,70.32,HighSchool,Completed,No,75.78,Low
297,5.8,66.84,Masters,None,Yes,74.44,High
298,4.61,86.75,PhD,None,No,83.34,High
299,5.63,97.18,Bachelors,None,Yes,56.98,High
300,5.26,82.27,HighSchool,None,Yes,51.5,Medium
